id,service_name,service_description,service_remarks,service_duration,service_price,service_is_enabled,created_at,updated_at,service_category_id,service_sequence_no,created_by,updated_by
21,Hydro Dewy Skin Booster Treatment,,,90,580,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,11,15,15
22,PDRN Baby Skin Booster Treatment,,,90,680,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,12,15,15
23,B-Tox Renewal Treatment,,,90,680,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,13,15,15
24,Macaron Rejuvenating Treatment,,,90,680,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,14,15,15
25,Collagen Rejuvenating Treatment,,,90,780,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,15,15,15
26,NCTF 135 HA Booster Treatment,,,0,780,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,16,15,15
27,Spongy Clarifying Revitalizing Treatment,,,0,1080,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,17,15,15
28,Ultherapy Treatment Face with Neck,,,90,3000,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,18,15,15
29,Ultherapy Treatment Eye,,,45,1800,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,19,15,15
30,Ultherapy Treatment Neck,,,45,1800,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,2,20,15,15
31,Relaxing Eye Mask,,,20,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,3,2,15,15
32,Concentrated Eye Treatment,,,45,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,3,3,15,15
33,Algae Eye Treatment,,,60,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,3,4,15,15
34,RF Eye Treatment,,,60,188,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,3,5,15,15
35,Neck Lymphatic Drainage,,,45,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,4,1,15,15
36,Distress Neck Treatment,,,45,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,4,2,15,15
37,Whitening Neck Treatment,,,45,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,4,3,15,15
38,Omega Neck Treatment,,,45,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,4,4,15,15
39,RF Neck Treatment,,,60,188,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,4,5,15,15
40,Face Machine (RF /Cold Compress),,,0,188,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,3,15,15
41,LED Light,,,0,188,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,4,15,15
42,Acmetea Laser,,,0,298,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,5,15,15
43,Liftera V Face,,,0,598,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,6,15,15
44,New Doublo,,,0,1980,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,7,15,15
45,DPL Laser,,,0,398,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,8,15,15
46,BBL,,,0,598,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,9,15,15
47,Diode Laser,,,0,398,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,13,10,15,15
48,Under Arm,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,1,15,15
49,Hand & Fingers,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,2,15,15
50,Feet & Toes,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,3,15,15
51,Chin,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,4,15,15
52,Sideburns,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,5,15,15
53,Upper Lips,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,6,15,15
54,Nape Of Neck,,,0,98,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,7,15,15
55,Upper Back,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,8,15,15
56,Lower Back,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,9,15,15
57,Upper Arms,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,10,15,15
58,Lower Arms,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,11,15,15
59,Stomach,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,12,15,15
60,Lower Legs,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,13,15,15
61,Upper Legs,,,0,158,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,14,15,15
62,Full Whole Back,,,0,158,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,5,15,15,15
63,3D Eyebrow Embroidery,,,0,499,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,2,15,15
64,Korea Misty Eyebrow,,,0,599,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,3,15,15
65,3D Korea Misty Eyebrow,,,0,699,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,4,15,15
66,Korea Inner Eyeliner,,,0,269,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,5,15,15
67,Lip Line Embroidery,,,0,399,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,6,15,15
68,Lip Embroidery,,,0,599,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,6,7,15,15
69,Classic Eyelash (Natural look),,,0,78,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,1,15,15
70,Volume 2D Eyelash,,,0,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,2,15,15
71,Volume 3D Eyelash,,,0,118,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,3,15,15
72,Removal of Lash ($10),,,0,10,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,4,15,15
73,Removal of Lash ($25),,,0,25,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,5,15,15
74,Vitamin Lash Treatment,,,0,199,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,6,15,15
75,2nd Week,,,0,40,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,14,1,15,15
76,3rd Week,,,0,53,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,14,2,15,15
77,Express Mani,,,0,18,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,4,15,15
78,Express Pedi,,,0,18,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,5,15,15
79,Express Gel Mani,,,0,28,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,6,15,15
80,Express Gel Pedi,,,0,48,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,7,15,15
81,Hard Gel Mani,,,0,80,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,8,15,15
82,Hard Gel Pedi,,,0,100,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,9,15,15
83,Hard Gel Extension Mani,,,0,128,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,10,15,15
84,Norma Extension (Per Nail),,,0,5,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,11,15,15
85,Removal Colour Gel,,,0,15,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,12,15,15
86,Removal Acrylic,,,0,40,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,13,15,15
87,Cat Eye,,,0,28,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,14,15,15
88,French,,,0,18,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,15,15,15
89,Art Design,,,0,30,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,16,15,15
90,Art Design 3D,,,0,40,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,17,15,15
91,Synthetic Diamond (Per Piece),,,0,5,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,18,15,15
92,Sticker (Per piece),,,0,5,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,19,15,15
93,Quick dry Topcoat,,,0,2,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,20,15,15
94,Spa Mani,,,0,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,15,2,15,15
95,Spa Pedi,,,0,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,15,3,15,15
96,Corn Treatment,,,0,108,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,15,4,15,15
97,Synery Bust Treatment,,,0,180,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,9,1,15,15
98,(Arm) Concentrated Slimming Programme,,,0,58,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,9,2,15,15
99,(Tummy) Concentrated Slimming Programme,,,0,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,9,3,15,15
100,(Thigh) Concentrated Slimming Programme,,,0,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,9,4,15,15
101,(Buttock) Concentrated Slimming Programme,,,0,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,9,5,15,15
102,Intensive Full Body Programme,,,0,228,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,9,6,15,15
103,Destress Back Massage,,,0,48,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,10,1,15,15
104,Gua Sha Back Treatment,,,0,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,10,2,15,15
105,Clarifying Back Treatment,,,0,78,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,10,3,15,15
106,Whitening Back Treatment,,,0,78,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,10,4,15,15
107,Relaxing Hand Massage,,,0,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,1,15,15
108,Classic Mani,,,0,28,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,8,21,15,15
109,Paraffin Hand,,,0,25,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,2,15,15
110,Paraffin Foot,,,0,35,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,3,15,15
111,Classic Y Eyelash,,,0,108,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,7,15,15
112,Thermasoft Hand Mask,,,0,28,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,4,15,15
113,Thermasoft Foot Mask,,,0,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,5,15,15
114,Lash Extension,,,0,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,7,8,15,15
116,Nourishing Hand Treatment,,,0,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,7,15,15
117,SPA Whitening Hand Treatment,,,0,68,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,8,15,15
118,SPA Whitening Foot Treatment,,,0,78,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,11,9,15,15
119,Ear Candles,,,0,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,12,1,15,15
120,Reflexology Foot Massage,,,0,38,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,12,2,15,15
121,Foot Detox + Parraffin,,,0,58,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,12,3,15,15
122,Destress Body Massage,,,0,88,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,12,4,15,15
123,Ovarian Care Treatment,,,0,198,true,2020-08-01T10:20:00+08:00,2020-08-01T10:20:00+08:00,12,5,15,15
124,Refreshing Cica,,,0,58,true,2020-08-01 02:20:00+00,2020-08-01 02:20:00+00,1,2,15,15
